idx,x,y,z,nx,ny,nz,dx,dy,dz,seg_len,cumulative_len
181,-0.112873,0.310103,0.689712,0.034521,-0.946108,0.322007,-0.996552,-0.003749,0.082884,0.004240,0.766020
182,-0.117080,0.310467,0.689792,0.047098,-0.941329,0.334188,-0.996581,-0.014678,0.081302,0.004223,0.770243
183,-0.121204,0.310858,0.689840,0.053671,-0.939015,0.339663,-0.996558,-0.025322,0.078932,0.004143,0.774386
184,-0.125344,0.310917,0.690040,0.066354,-0.936280,0.344931,-0.996479,-0.034465,0.076436,0.004144,0.778530
185,-0.129332,0.310887,0.690242,0.079865,-0.934649,0.346485,-0.996448,-0.040650,0.073751,0.003993,0.782524
186,-0.133345,0.310513,0.690617,0.073666,-0.940894,0.330593,-0.996549,-0.042867,0.071079,0.004048,0.786572
187,-0.137320,0.310082,0.691032,0.060513,-0.948608,0.310615,-0.996770,-0.041723,0.068617,0.004020,0.790592
188,-0.141259,0.309275,0.691677,0.029534,-0.955476,0.293585,-0.997087,-0.037716,0.066289,0.004072,0.794664
189,-0.145209,0.308449,0.692347,0.000873,-0.962540,0.271139,-0.997450,-0.030902,0.064328,0.004091,0.798755
190,-0.149309,0.307802,0.692955,-0.026276,-0.968636,0.247092,-0.997792,-0.020276,0.063240,0.004195,0.802949
191,-0.153381,0.306909,0.693581,-0.027831,-0.972422,0.231562,-0.998011,-0.005509,0.062796,0.004215,0.807165
192,-0.157534,0.306178,0.694130,-0.018735,-0.968997,0.246360,-0.998021,0.012445,0.061632,0.004253,0.811418
193,-0.162249,0.305241,0.694103,-0.024953,-0.972742,0.230543,-0.997641,0.033006,0.060186,0.004807,0.816225
194,-0.166880,0.304506,0.694128,-0.033009,-0.982487,0.183385,-0.996707,0.055730,0.058900,0.004689,0.820914
195,-0.171727,0.303610,0.694279,-0.046857,-0.989319,0.138032,-0.995183,0.079907,0.056788,0.004931,0.825845
196,-0.177502,0.303828,0.693152,-0.027212,-0.992409,0.119937,-0.993037,0.104947,0.053515,0.005888,0.831733
197,-0.182089,0.304877,0.692942,-0.051375,-0.993392,0.102631,-0.990340,0.129917,0.048467,0.004710,0.836443
198,-0.187100,0.306939,0.692972,-0.066707,-0.993313,0.094234,-0.987070,0.154949,0.041023,0.005419,0.841862
199,-0.190548,0.309590,0.692898,-0.103216,-0.990679,0.088895,-0.983175,0.179967,0.031274,0.004349,0.846211
200,-0.193885,0.311895,0.693502,-0.134357,-0.987443,0.083092,-0.978800,0.203951,0.018807,0.004101,0.850312
201,-0.198150,0.313051,0.693818,-0.159123,-0.984218,0.077428,-0.974471,0.224507,0.001870,0.004430,0.854742
202,-0.201742,0.313758,0.694390,-0.183201,-0.980984,0.064088,-0.970673,0.239652,-0.018998,0.003705,0.858448
203,-0.205425,0.314296,0.695042,-0.205098,-0.977382,0.051565,-0.967523,0.249185,-0.042496,0.003779,0.862226
204,-0.209041,0.316335,0.696005,-0.223351,-0.973745,0.043987,-0.964844,0.253517,-0.069313,0.004261,0.866487
205,-0.212849,0.317337,0.696181,-0.241329,-0.969758,0.036467,-0.962317,0.252971,-0.099759,0.003941,0.870429
206,-0.216809,0.317719,0.695676,-0.256679,-0.966183,0.024638,-0.959371,0.248150,-0.134272,0.004011,0.874439
207,-0.220359,0.318833,0.695709,-0.249924,-0.967164,0.046179,-0.955391,0.238624,-0.174031,0.003720,0.878160
208,-0.224557,0.319994,0.695627,-0.237364,-0.968633,0.073545,-0.949453,0.223806,-0.220114,0.004357,0.882516
209,-0.228396,0.321529,0.695218,-0.200951,-0.976487,0.078049,-0.939995,0.205300,-0.272508,0.004154,0.886671
210,-0.231974,0.323051,0.694241,-0.182234,-0.979347,0.087577,-0.925367,0.183867,-0.331494,0.004010,0.890681
211,-0.235622,0.324005,0.693119,-0.166097,-0.981294,0.097330,-0.903744,0.159396,-0.397289,0.003934,0.894615
212,-0.239074,0.324695,0.691679,-0.154841,-0.981278,0.114535,-0.873584,0.131970,-0.468438,0.003803,0.898418
213,-0.242769,0.325283,0.689517,-0.165930,-0.982432,0.085413,-0.832570,0.100917,-0.544649,0.004321,0.902739
214,-0.246446,0.325837,0.687172,-0.161997,-0.982901,0.087534,-0.777479,0.066442,-0.625389,0.004396,0.907135
215,-0.248483,0.325742,0.684065,-0.153238,-0.980351,0.124217,-0.705114,0.028212,-0.708533,0.003717,0.910852
216,-0.253234,0.325878,0.681072,-0.154589,-0.973260,0.169905,-0.611993,-0.013811,-0.790743,0.005616,0.916468
217,-0.256372,0.325189,0.678245,-0.179702,-0.965126,0.190366,-0.496219,-0.060369,-0.866096,0.004279,0.920747
218,-0.259898,0.324145,0.675189,-0.177588,-0.960979,0.212090,-0.358582,-0.111347,-0.926834,0.004782,0.925529
219,-0.263177,0.323203,0.672510,-0.175757,-0.958051,0.226381,-0.201806,-0.163335,-0.965710,0.004338,0.929867
220,-0.265222,0.323244,0.669941,-0.160334,-0.957957,0.237931,-0.031475,-0.213518,-0.976432,0.003283,0.933150
221,-0.265754,0.323277,0.668047,-0.157558,-0.958784,0.236450,0.143690,-0.258394,-0.955293,0.001968,0.935118
222,-0.265528,0.322756,0.666249,-0.160004,-0.959196,0.233114,0.313199,-0.294312,-0.902932,0.001885,0.937004
223,-0.263536,0.322548,0.664636,-0.170466,-0.956262,0.237707,0.467625,-0.319719,-0.824079,0.002572,0.939576
224,-0.261328,0.322101,0.663236,-0.171410,-0.955068,0.241794,0.600587,-0.334264,-0.726336,0.002652,0.942228
225,-0.257554,0.321574,0.662516,-0.182941,-0.949532,0.254798,0.709190,-0.338693,-0.618334,0.003878,0.946106
